問,科目,解答,正誤,回答,理由
問95,物理,"[(1, 3)]",○,"[1, 3]","⁹⁹Mo/⁹⁹ᵐTc ジェネレーターに関する記述を評価する。⁹⁹Mo (親核種、半減期 T₁ ≈ 66 h) は β⁻ 壊変して ⁹⁹ᵐTc (娘核種、半減期 T₂ ≈ 6 h) になる。
1. 放射平衡は親核種の半減期 T₁ が娘核種の半減期 T₂ より長い (T₁ > T₂) 場合に起こる。特に T₁ が T₂ より「十分長い」(T₁ >> T₂) 場合を永続平衡、T₁ は T₂ より長いが差がそれほど大きくない場合を過渡平衡という。⁹⁹Mo/⁹⁹ᵐTc は T₁ > T₂ なので放射平衡（特に過渡平衡）が成り立つ。記述は永続平衡の条件に近いが、広義の放射平衡の成立条件 (T₁ > T₂) を含むと解釈すれば正しい。
2. ⁹⁹Mo と ⁹⁹ᵐTc の半減期比は約 11 であり、「十分長い」とは言えないため、永続平衡ではなく過渡平衡が成り立つ。誤り。
3. ⁹⁹ᵐTc の「m」は準安定核異性体 (metastable isomer) を意味する。⁹⁹ᵐTc はガンマ線放出を伴う核異性体転移 (IT) によって、より安定な ⁹⁹Tc に壊変する。正しい。
4. ミルキングとは、ジェネレーターから娘核種 (⁹⁹ᵐTc) を溶出液で選択的に回収する操作のこと。親核種 (⁹⁹Mo) を溶出するのではない。誤り。
5. ⁹⁹Mo/⁹⁹ᵐTc ジェネレーターのカラム担体には通常、アルミナ (Al₂O₃) が用いられる。Tl 添加 NaI 単結晶は放射線検出器（シンチレーター）の材料。誤り。"
問96,物理,"[(4,)]",○,[4],"最終的なアンモニア水溶液の pH から逆算して、最初に採取した 28% アンモニア水の体積を求める。
1. 最終溶液のアンモニア濃度 C の計算：pH = 11.0 より pOH = 14.0 - 11.0 = 3.0。[OH⁻] = 10⁻³·⁰ mol/L。アンモニアの塩基解離平衡 NH₃ + H₂O ⇄ NH₄⁺ + OH⁻ において、Kb = [NH₄⁺][OH⁻] / [NH₃] = 1.7 × 10⁻⁵。解離度 α が小さいと仮定し、[NH₄⁺] ≈ [OH⁻] = 10⁻³、[NH₃] ≈ C とすると、Kb ≈ (10⁻³)² / C。C ≈ 10⁻⁶ / (1.7 × 10⁻⁵) ≈ 0.0588 mol/L。
2. 中間溶液 (500 mL に希釈後) の濃度 C' の計算：最終溶液は中間溶液 20 mL を 1000 mL に希釈したものなので、希釈倍率は 1000/20 = 50 倍。C' = C × 50 ≈ 0.0588 mol/L × 50 ≈ 2.94 mol/L。
3. 28% アンモニア水 (比重 0.90) のモル濃度 C₀ の計算：1 L (1000 mL) の質量は 1000 mL × 0.90 g/mL = 900 g。含まれる NH₃ (分子量 17) の質量は 900 g × 0.28 = 252 g。モル数は 252 g / 17 g/mol ≈ 14.82 mol。よって C₀ ≈ 14.82 mol/L。
4. 採取した体積 V (mL) の計算：採取したアンモニア水 V mL を 500 mL に希釈して中間溶液としたので、モル数について (V/1000) × C₀ = (500/1000) × C' が成り立つ。V × 14.82 = 500 × 2.94。V = (500 × 2.94) / 14.82 ≈ 1470 / 14.82 ≈ 99.2 mL。
5. 最も近い選択肢：計算結果は約 99.2 mL なので、選択肢の中で最も近いのは 100 mL。"
問97,物理,"[(2,)]",○,[2],"純度試験における芳香族第一アミンの許容限度を計算する。
1. 測定溶液の調製：試料 0.20 g から最終的に 50 mL の測定溶液を調製。
2. 吸光度の許容限度：A ≤ 0.15 (波長 485 nm, 層長 l = 1 cm)。
3. 比吸光度：E¹%₁cm = 475。
4. ランベルト・ベールの法則の応用：A = E¹%₁cm × C × l より、測定溶液中の芳香族第一アミンの濃度 C (% w/v) を求める。C = A / (E¹%₁cm × l) = 0.15 / (475 × 1) ≈ 0.0003158 % w/v。
5. 測定溶液 50 mL 中の芳香族第一アミンの質量を計算：質量 = (C / 100) × 50 mL = (0.0003158 / 100) g/mL × 50 mL ≈ 0.0001579 g。
6. 試料 0.20 g に対する質量パーセント濃度（許容限度）を計算：許容限度 (%) = (芳香族第一アミンの質量 / 試料の質量) × 100 = (0.0001579 g / 0.20 g) × 100 ≈ 0.07895 %。
7. 最も近い選択肢：計算結果は約 0.079 %。選択肢 2 の 0.079% が最も近い。"
問98,物理,"[(2, 5)]",×,[5],"アミドトリゾ酸の定量法に関する記述を評価する。この定量法は、亜鉛による還元的脱ヨウ素化で生じたヨウ化物イオン (I⁻) を硝酸銀 (AgNO₃) 標準液で滴定する沈殿滴定（ファヤンス法）である。
1. Volhard 法は過剰の Ag⁺ をチオシアン酸標準液で逆滴定する方法であり、本法（直接滴定）とは異なる。誤り。
2. ア (0.1 mol/L 硝酸銀液) は滴定剤であり、その標定には通常 NaCl が用いられる。チオシアン酸アンモニウム液の標定に硝酸銀液が用いられる。記述が逆。誤り。
3. イ (テトラブロモフェノールフタレインエチルエステル) は酸性条件下での I⁻ 滴定に適した吸着指示薬。フルオレセインナトリウムは中性～弱アルカリ性での Cl⁻, Br⁻ 滴定に用いられる吸着指示薬であり、本滴定条件には不適切。誤り。
4. ウ に入る色。AgI 沈殿は黄色。指示薬は終点で Ag⁺ が吸着した沈殿表面に吸着し変色する。テトラブロモフェノールフタレインエチルエステルの場合、青緑～紫色などに変色すると考えられる。橙色ではない。誤り。
5. エ に入る数値（ファクター）の計算。アミドトリゾ酸 (C₁₁H₉I₃N₂O₅, 分子量 613.91) 1 mol は 3 個の I を含み、3 mol の Ag⁺ と反応する。0.1 mol/L AgNO₃ 液 1 mL 中の Ag⁺ は 0.0001 mol。これと反応するアミドトリゾ酸は (0.0001 / 3) mol。質量は (0.0001 / 3) mol × 613.91 g/mol ≈ 0.0204636 g = 20.4636 mg。よって エ は 20.46。正しい。
注記：正しい記述は5のみであるが、問題文では2つ選ぶよう指示されている。他の選択肢は明確に誤りであるため、問題に不備がある可能性が高い。しかし、指示に従う場合、消去法で最も疑わしさが残る（色の判断など主観が入りうる）4を選ぶことも考えられるが、学術的には5のみが正しい。"
問99,物理,"[(1, 4)]",○,"[1, 4]","原子吸光光度法 (AAS) による金 (Au) の定量に関する記述を評価する。
1. ア に入る可燃性ガス。金 (Au) のフレーム原子吸光分析では、一般的に空気-アセチレンフレームが用いられる。したがって、可燃性ガスはアセチレンである。正しい。
2. イ に入るランプ。原子吸光分析では、測定対象元素の輝線スペクトルを光源として用いる。金 (Au) の測定には、金の中空陰極ランプ (HCL) が用いられる。重水素放電管はバックグラウンド補正用の連続光源。誤り。
3. 原子化法。空気-アセチレンガスを用いることから、フレーム原子化法が用いられている。冷蒸気方式は主に水銀 (Hg) の測定に用いられる。誤り。
4. 原子吸光光度法では、原子蒸気層中の基底状態原子による光吸収を利用する。吸光度と原子濃度（試料濃度）の間には、一定の濃度範囲でランベルト・ベールの法則が成り立つ。正しい。
5. 原子スペクトルは、原子に固有のエネルギー準位間の電子遷移に基づく不連続な線スペクトルである。連続スペクトルではない。誤り。"
問100,物理,"[(2, 4)]",○,"[2, 4]","逆相 HPLC によるフェノール、パラオキシ安息香酸、トルエンの分離に関する記述を評価する。固定相は ODS (非極性)、移動相は緩衝液/メタノール (極性)。極性の低い物質ほど保持時間が長くなる。極性は パラオキシ安息香酸 (pH 7 でイオン化) > フェノール > トルエン (非極性)。溶出順は パラオキシ安息香酸 < フェノール < トルエン。
1. 固定相が非極性 (ODS)、移動相が極性 (水系/有機溶媒) なので、逆相クロマトグラフィーである。順相ではない。誤り。
2. 溶出順は極性の高い順。最も非極性であるトルエンが最後に溶出する。正しい。
3. カラム温度を上げると、一般に保持時間は短くなり、ピーク幅は狭くなり、ピーク高さは高くなる。ピーク面積は理論的には変化しない。ピーク面積が減少するというのは誤り。
4. パラオキシ安息香酸は pH 7.0 ではカルボキシ基が解離 (-COO⁻) して極性が高い。移動相の pH を低くすると、解離が抑制され分子型 (-COOH) が増える。分子型はイオン型より極性が低いので、非極性の固定相との相互作用が強まり、保持時間は長くなる。正しい。
5. トルエン (非極性) の保持時間を長くするには、移動相の極性を高くする（溶出力を弱める）必要がある。移動相中のメタノール（緩衝液より極性が低い）の比率を高くすると、移動相の極性が下がり（溶出力が強くなり）、保持時間は短くなる。誤り。"
問101,化学,"[(6,)]",○,[6],"酸塩基抽出による化合物 A (アニソール, 中性), B (安息香酸, 酸性), C (アニリン, 塩基性), D (フェノール, 弱酸性) の分離。
操作試薬：ア (HCl, 強酸), イ (NaOH, 強塩基), ウ (NaHCO₃, 弱塩基)。
分液操作②で D (フェノール) の塩が水層に抽出された。フェノールは弱酸性であり、強塩基 (NaOH) によって塩 (フェノキシド) となって水層に抽出される。弱塩基 (NaHCO₃) ではほとんど抽出されない。よって操作② = イ (NaOH)。
操作②の段階でエーテル層に D が存在したということは、操作①では D は抽出されなかったことを意味する。
分離の一般的な順序は、(1) 塩基性物質を酸で抽出、(2) 強酸性物質を弱塩基で抽出、(3) 弱酸性物質を強塩基で抽出。
この順序に従うと、操作①で塩基性物質 C (アニリン) を ア (HCl) で抽出するか、または強酸性物質 B (安息香酸) を ウ (NaHCO₃) で抽出する。
もし操作① = ア (HCl) なら、エーテル層には A, B, D が残る。次に操作② = イ (NaOH) を行うと、B と D の両方が水層に抽出されてしまい、「D の塩が主に含まれていた」という条件に合わない。
もし操作① = ウ (NaHCO₃) なら、B (安息香酸) が水層へ。エーテル層には A, C, D が残る。次に操作② = イ (NaOH) を行うと、D (フェノール) が水層へ抽出される。これは条件に合う。
この場合、残りのエーテル層には A (中性) と C (アミン) が含まれる。操作③で C を抽出するには ア (HCl) を用いる。
したがって、最適な操作の組み合わせは 操作①=ウ, 操作②=イ, 操作③=ア。これは選択肢6に対応する。"
問102,化学,"[(4,)]",×,[5],"各反応の主生成物が正しいか評価する。
1. 末端アルキン + NaNH₂ → アセチリド。+ CH₃CH₂Br → SN2反応でアルキル化。正しい。
2. 末端アルキン + (sia)₂BH (ヒドロホウ素化、逆マルコフニコフ型) → H₂O₂/NaOH (酸化) → アルデヒド生成。正しい。
3. 内部アルキン + HgSO₄/H₂O⁺ (水和反応、マルコフニコフ型) → ケトン生成。図のケトンは可能な生成物の一つ。正しい。
4. 内部アルキン + H₂/リンドラー触媒 → シス-アルケン生成。図の生成物はアルケンであり、シス型として解釈可能。正しい。
5. 末端アルキン + HCl (2当量) → マルコフニコフ付加。1当量目で内部炭素に Cl が付加したビニルクロリド、2当量目で同じ内部炭素にもう一つの Cl が付加したジェミナルジクロリド (例: R-CCl₂-CH₃) が生成する。図の生成物は隣接する炭素に Cl が付加したビシナルジクロリドであり、これは誤り。"
問103,化学,"[(3, 4)]",×,"[1, 3]","電子移動を示す矢印（巻き矢印）の正しさを評価する。
1. NaBH₄ によるケトン還元：BH₄⁻ からのヒドリド (H:⁻) がカルボニル炭素を求核攻撃し、同時に C=O の π 電子が酸素原子上に移動する。矢印はこれを正しく示している。正しい。
2. アミンによるカルボニルへの求核付加（イミン生成の第一段階）：アミンの非共有電子対がカルボニル炭素を攻撃し、C=O の π 電子が酸素へ移動する。図の矢印は全く異なる動きを示しており、誤り。
3. ウィリアムソンエーテル合成 (SN2)：アルコキシドの酸素原子の非共有電子対がハロゲン化アルキルの炭素原子を背面攻撃し、同時にハロゲン原子が脱離基として結合電子対とともに離れる。図の矢印はこれを正しく示している。正しい。
4. ニトロ化 (芳香族求電子置換)：ベンゼン環の π 電子がニトロニウムイオン (⁺NO₂) の窒素原子を攻撃し、σ 錯体 (アレニウムイオン) を形成する。図の最初の矢印 (π 電子 → N) は攻撃を示しているが、同時に N=O → O の矢印があるのは σ 錯体形成の標準的な描写ではなく、不適切。後半の脱プロトンによる芳香環再生の矢印は正しいが、一連の矢印としては最初の部分に問題がある。誤り。
5. アルケンへの HBr 付加 (求電子付加)：アルケンの π 電子が HBr の H を攻撃してカルボカチオン中間体 (より安定な方が生成) を形成し、次に Br⁻ がカルボカチオンを攻撃する。図の矢印はこれらのステップを正しく示している。正しい。
正しいものは 1, 3, 5 であるが、2つ選ぶ必要がある。1, 3, 5 はいずれも基本的な反応機構を正しく示している。4は最初の矢印が不適切。2は全く異なる。最も疑いのない 1 と 3 を選ぶ。"
問104,化学,"[(4, 5)]",○,"[4, 5]","DNA 二重らせん構造に関する記述を評価する。
1. 塩基アはアデニン (A)。アデニンはプリン塩基であり、ピリミジン環とイミダゾール環が縮合した構造を持つ。ピラジン環ではない。誤り。
2. 塩基イはチミン (T)。チミンはピリミジン塩基。ウリジンはヌクレオシド（塩基+糖）であり、塩基部分はウラシル (U)。DNA にはチミンが含まれ、ウラシルは通常 RNA に含まれる。誤り。
3. 矢印Aはポリヌクレオチド鎖の方向を示す。DNA 鎖は 5' 末端から 3' 末端への方向性を持つ。図において、リン酸ジエステル結合は下のヌクレオチドの 3' 位から上のヌクレオチドの 5' 位へ伸びているように見える。したがって、矢印Aは 5'→3' 方向を指している。記述は 3'→5' なので誤り。
4. 酸素原子エはグアニン (G) の C=O 基の酸素。これはシトシン (C) の -NH₂ 基の水素との間で水素結合 (O...H-N) を形成している。水素結合において、電気陰性度の高い原子上の非共有電子対が水素を受け入れる側が受容体。酸素原子エは水素結合受容体として機能している。正しい。
5. 相補的な塩基対 (A-T, G-C) は、水素結合によって形成され、各塩基はほぼ同一平面上に配置される。これらの塩基対平面が積み重なって二重らせん構造を形成する。塩基対は平面状である。正しい。"
問105,化学,"[(1, 2)]",×,"[1, 4]","アセチルCoA の生合成（ピルビン酸デヒドロゲナーゼ複合体反応）に関する記述を評価する。
1. 構造式アは補酵素 TPP。Mg²⁺ は TPP を要求する酵素で必要とされ、ピロリン酸部分の負電荷を中和し構造安定化や酵素結合に関与する。リン原子の求電子性を高めるという記述は、TPP の触媒機構における主要な役割ではない。疑わしい。
2. 矢印イはアセチル基のカルボニル酸素。これはピルビン酸 (CH₃COCOOH) のカルボニル基由来。酢酸イオン由来ではない。誤り。
3. アセチルCoA (ウ) はチオエステル (-S-CO-)。対応するオキソエステル (-O-CO-) と比較すると、硫黄の電気陰性度が酸素より小さいため、カルボニル炭素の電子密度が相対的に低くなり、求電子性はチオエステルの方が高い。記述は逆。誤り。
4. 矢印エは CoA の ADP 部分の β-リン酸原子。このリン原子は Pα, Pγ, 5'リボース酸素, O⁻ の4つの異なる基に結合しており、キラル中心である。構造は四面体 (4配位)。酸化数は+5。「5価4配位」という表現は不正確だが、キラル中心であることは正しい。
5. CoA-SH のチオール基 (オ) は、リポアミドに結合したアセチル基のカルボニル炭素を求核攻撃し、アセチル基転移反応（求核アシル置換）によってアセチルCoA を生成する。これは SN2 反応ではない。誤り。
明確な誤りは 2, 3, 5。残る 1 と 4 のうち、4 はキラル中心であるという事実が正しい（表現に難あり）。1 の記述は役割として不適切。よって 4 を正しいと判断。2つ選ぶ必要があり、1 も部分的に正しい（電荷中和）ため、1 と 4 を選ぶ。"
問106,化学,"[(1,)]",○,[1],"ブレオマイシン A₂ による DNA 切断に必要な化学的性質を問うている。ブレオマイシンは Fe(II) イオンとキレート錯体を形成し、酸素を活性化して DNA を切断する。
1. 部分構造アは β-アミノアラニン部位、ピリミジン環、イミダゾール環を含み、これらは Fe(II) との配位に関与する主要な部位である。正しい。
2. 部分構造イは糖部分。Mg(II) との配位が DNA 切断に必須とは考えられない。誤り。
3. 部分構造ウはリンカー部分。一部配位に関与する可能性はあるが、Mg(II) との関連は低い。誤り。
4. 部分構造エはビチアゾール部分。DNA へのインターカレーションに関与するとされるが、光増感作用は主要な作用機序ではない。誤り。
5. 部分構造オは末端アミン部分。Fe(II) キレートの中心ではない。誤り。
したがって、DNA 切断に最も重要なのは、主要な金属キレート部位を含む部分構造アにおける Fe(II) との配位能である。"
問107,化学,"[(2,)]",○,[2],"インスリンアナログのうち、等電点 (pI) をインスリン (pI 約 5.4) から中性付近 (pI 約 6.7) に上昇させることで、生理的 pH で沈殿し作用を持続化させるものを探す。pI を上昇させるには、分子全体の正電荷を増やす（塩基性アミノ酸導入）か、負電荷を減らす（酸性アミノ酸除去）改変が必要。
1. B28 Pro→Lys, B29 Lys→Pro, A21 Asn→Gly, B3 Asn→Lys。Lys が1つ増える。pI 上昇。
2. A21 Asn→Gly, B鎖 C末端に Arg-Arg 付加。塩基性の Arg が2つ付加されるため、pI が大幅に上昇する。これはインスリングラルギンの特徴であり、pI が約 6.7 になる。正しい。
3. B3 Asn→Lys, B29 Lys→Glu。塩基性残基が1つ増え、1つが酸性残基に置換。pI 変化は小さいか低下。
4. B29 Lys に脂肪酸結合, A21 Asn→Gly, B30 Thr 欠失。pI への影響は小さい。
5. B28 Asp 置換?, B10 His→Asp? 酸性残基導入/増加。pI 低下。
したがって、pI を中性付近にシフトさせる改変は選択肢2。"
問108,化学,"[(2, 4)]",×,"[2, 5]","アラニン誘導体 A の ¹H NMR スペクトルに関する記述を評価する。構造は N-ベンゾイルアラニンメチルエステル (Ph-CO-NH-CH(CH₃)-COOCH₃) と推定。プロトン割り当て：ア(COOCH₃, d, 3.75ppm), イ(側鎖CH₃, b, 1.45ppm), ウ(NH, f, 6.7ppm), カ(α-CH, e, 4.8ppm), ベンゼン環 (g, 7.4-7.5ppm, 3H; h, 7.8ppm, 2H)。
1. ピーク a, c は不明瞭な不純物シグナルに見える。b は 3H。合計 6H とは断定できない。誤り。
2. ピーク e に対応するプロトンは カ (α-CH)。エ はベンゼン環プロトン。したがって前半は誤り。後半：ピーク e (カ) は隣接する CH₃ (イ) と NH (ウ) の影響でマルチプレット。D₂O 添加で NH とのカップリングが消失するため、CH₃ (イ, 3H) とのカップリングのみとなり、四重線 (quartet) になる。現象の記述は正しいが、対応するプロトンが違うため文全体としては誤り。
3. ピーク g (7.4-7.5ppm, 3H) はベンゼン環の m, p 位プロトン。カ (α-CH) は e (4.8ppm)。キ (o-位) は h (7.8ppm)。誤り。
4. ア (COOCH₃) のプロトンはピーク d (シングレット)。隣接炭素にプロトンがないため、他のプロトンとはカップリングしない。誤り。
5. イ (側鎖 CH₃) のピークは b (1.45 ppm)。コ (ベンゼン環プロトンの一部) のピークは g (7.4-7.5 ppm)。化学シフト値が小さいほど高磁場側。1.45 ppm は 7.4-7.5 ppm より高磁場側にある。正しい。
正しい記述は5のみに見えるが、2つ選ぶ必要がある。2は現象の記述自体は正しいが、主語が誤っている。他の選択肢は明確に誤り。問題の指示に従い、最も確からしい5と、現象の記述が正しい2を選ぶ。"
問109,化学,"[(2, 3)]",○,"[2, 3]","アコニチン及びそれを含む生薬ブシ（基原：トリカブト等キンポウゲ科植物の塊根）に関する記述を評価する。
1. アコニチンはジテルペンアルカロイド。テルペノイド骨格はメバロン酸経路/MEP経路で生合成される。酢酸-マロン酸経路ではない。誤り。
2. アルカロイドの窒素原子は通常アミノ酸に由来する。アコニチンの窒素原子もアミノ酸由来と考えられている。記述は逆。誤り。
3. ブシは猛毒のため、修治（加熱処理）が行われる。これによりアコニチンのエステル結合が加水分解され、毒性の低いアコニン等に変化する。正しい。
4. 生薬 A (ブシ) の基原はキンポウゲ科植物。ナス科ではない。誤り。
5. ブシは体を温め機能を高める作用があり、主に虚証・寒証（体力が低下し冷えがある状態）に用いられる。体力が充実している患者には通常用いない。誤り。
正しい記述は3のみであるが、2つ選ぶよう指示されている。2の「アミノ酸由来ではない」は標準的な理解とは異なるが、アルカロイド窒素源の例外も存在するため、可能性はゼロではない。他の1, 4, 5は明確に誤り。問題の不備の可能性が高いが、指示に従う場合、最も確実な3と、次に議論の余地があるかもしれない2を選ぶ。"
問110,化学,"[(4,)]",○,[4],"漢方処方、作用、構成生薬の組み合わせの正誤を判断する。
1. 六君子湯は補気剤の四君子湯がベースであり、ニンジンの補気作用が中心。正しい。
2. 桂枝茯苓丸は駆瘀血作用があり、構成生薬のトウニン（桃仁）がその作用に寄与する。正しい。
3. 加味逍遙散は逍遙散がベースであり、構成生薬のトウキ（当帰）が補血作用に関与する。正しい。
4. 葛根湯の発汗作用は、主に構成生薬のマオウ（麻黄）とケイヒ（桂皮）による。シャクヤク（芍薬）は鎮痙や緩和作用であり、発汗を主導しない。誤り。
5. 五苓散は利水作用があり、構成生薬のブクリョウ（茯苓）がその作用に寄与する。正しい。"
問111,生物,"[(1, 3)]",○,"[1, 3]","心筋の興奮と収縮に関する記述を評価する。
1. 心臓の興奮伝導系の経路（洞房結節→心房→房室結節→ヒス束→プルキンエ線維→心室筋）を正しく記述している。正しい。
2. 心室筋の脱分極は主に電位依存性 Na⁺ チャネルの活性化による Na⁺ 流入で起こる。電位依存性 K⁺ チャネルの活性化は K⁺ 流出を引き起こし、再分極に関与する。誤り。
3. 心筋の興奮収縮連関のメカニズム。脱分極により細胞内 Ca²⁺ 濃度が上昇し、Ca²⁺ がトロポニンに結合することでアクチンとミオシンの相互作用が可能になり収縮が起こる。正しい。
4. 心電図において、P 波は心房の脱分極、QRS 波は心室の脱分極、T 波は心室の再分極を反映する。誤り。
5. 心拍数を増加させるのは交感神経。心拍数を減少させるのが副交感神経（迷走神経）。誤り。"
問112,生物,"[(3,)]",○,[3],"甲状腺ホルモン合成におけるチログロブリンのヨウ素化が行われる場所を問うている。甲状腺ホルモン合成は以下のステップで行われる。
1. チログロブリン (Tg) 合成（小胞体①→ゴルジ体②）と濾胞腔③への分泌。
2. ヨウ化物イオンの取り込みと酸化（濾胞上皮細胞内）。
3. 濾胞腔③内（特に細胞頂端膜付近）での Tg のチロシン残基へのヨウ素化と、ヨウ素化チロシン残基の縮合 (T₃, T₄ 形成)。
4. Tg の細胞内への取り込み（エンドサイトーシス⑤?）。
5. リソソーム④での Tg 分解と T₃, T₄ 遊離。
6. T₃, T₄ の血中への分泌。
したがって、チログロブリンのヨウ素化反応は濾胞腔 (コロイド) ③ で行われる。"
問113,生物,"[(3, 4)]",○,"[3, 4]","幹細胞に関する記述を評価する。
1. 造血幹細胞は全ての血球系細胞に分化できる多能性 (multipotent) 幹細胞である。単能性ではない。誤り。
2. 組織幹細胞（体性幹細胞）は自己複製と分化細胞産生のため、非対称分裂を行うことがある。誤り。
3. 人工多能性幹細胞 (iPS 細胞) は、分化した体細胞に特定の初期化因子遺伝子を導入し、リプログラミング（初期化）することによって作製される。正しい。
4. 胚性幹細胞 (ES 細胞) は、胚盤胞期の内部細胞塊から取り出して培養することで樹立される多分化能を持つ細胞株である。正しい。
5. ES 細胞は体を構成する三胚葉系の細胞に分化できる多能性 (pluripotent) を持つが、胎盤などの胚体外組織には分化できないため、個体全体を形成できる全能性 (totipotent) は持たない。誤り。"
問114,生物,"[(3, 5)]",○,"[3, 5]","ヒトにおける脂肪酸生合成に関する記述を評価する。
1. 脂肪酸の新規合成は主に細胞質で行われる。ミトコンドリアでは β酸化（分解）などが行われる。誤り。
2. 脂肪酸合成の還元ステップでは、補酵素として NADPH が利用される。NADH ではない。誤り。
3. 脂肪酸合成の原料であるアセチルCoA はミトコンドリアからクエン酸の形で細胞質へ輸送される。細胞質のクエン酸は脂肪酸合成の律速酵素であるアセチルCoA カルボキシラーゼを活性化するため、脂肪酸合成を促進する。正しい。
4. リノール酸は n-6 系多価不飽和脂肪酸であり、ヒトは体内で合成できない必須脂肪酸である。誤り。
5. 脂肪酸合成の最初の段階であるアセチルCoA からマロニルCoA への変換（アセチルCoA カルボキシラーゼによる触媒）が、脂肪酸合成全体の律速段階である。正しい。"
問115,生物,"[(2, 3)]",○,"[2, 3]","コラーゲンに関する記述を評価する。
1. コラーゲンの三重らせん構造は、個々の鎖が左巻きの特殊ならせんをとり、3本が右巻きに巻き付いたもので、α-ヘリックスとは異なる。誤り。
2. コラーゲン配列中の X はプロリンが翻訳後修飾されたものであり、主にヒドロキシプロリン (Hyp) である。この水酸化は三重らせん構造の安定化に重要。正しい。
3. コラーゲン配列は (Gly-X-Y)n の繰り返し構造を持つ。側鎖が小さいグリシンが3残基ごとに存在することで、3本の鎖が密に詰まった三重らせん構造の中心を占めることができ、構造形成に必須である。正しい。
4. ビタミン C はプロリンやリジンを水酸化する酵素の補因子として必要であり、コラーゲンの成熟と安定化に関与する。遺伝子転写を直接促進するわけではない。誤り。
5. コラーゲンは細胞外マトリックスの主要成分であり、細胞外で組織の強度や支持に関わる。細胞内の細胞骨格ではない。誤り。"
問116,生物,"[(2,)]",○,[2],"DNA 変異によるアミノ酸配列の変化を特定する。
1. 元のセンス鎖：5'-ACT GAA CGT-3' (読み枠にスペース挿入)。
2. 変異：* 印の C (シトシン) が脱アミノ化により U となり、DNA 修復されずに T (チミン) に置換される。
3. 変異箇所：CTG コドンの C → T、AAC コドンの C → T。
4. 変異後のセンス鎖：5'-A(T)T GAA (T)GT-3' → 5'-ATT GAA TGT-3'。
5. 転写後の mRNA 配列 (センス鎖の T を U に変える)：5'-AUU GAA UGU-3'。
6. コドン対応表による翻訳：
   - AUU → Ile (イソロイシン)
   - GAA → Glu (グルタミン酸)
   - UGU → Cys (システイン)
7. 変異後のアミノ酸配列は Ile-Glu-Cys。選択肢2と一致する。"
問117,生物,"[(3,)]",○,[3],"細胞周期と DNA 量の関係を理解し、フローサイトメトリーのヒストグラムを解釈する。
- G₁ 期：DNA 量 2C (複製前)。ヒストグラムの最初のピーク (相対蛍光強度 1、領域A)。
- S 期：DNA 量が 2C から 4C へ連続的に増加 (複製中)。ヒストグラムの中間領域 (領域B)。
- G₂ 期：DNA 量 4C (複製後)。
- M 期：DNA 量 4C (分裂期)。
- G₂/M 期の細胞は DNA 量が 4C であり、ヒストグラムの二番目のピーク (相対蛍光強度 2、領域C) に分布する。
問題は G₂ 期の細胞の分布を問うており、これは領域Cに含まれる。"
問118,生物,"[(1, 4)]",○,"[1, 4]","サンドイッチ ELISA 法と標準曲線に関する記述を評価する。
1. 吸光度 1.5 は、示されている標準曲線の直線範囲 (吸光度約 0.9 まで) を大きく超えている。正確な定量のためには、試料を希釈して吸光度が標準曲線の範囲内（できれば直線範囲内）に入るようにして再測定する必要がある。正しい。
2. 標準曲線から吸光度 0.6 に対応する濃度を読み取る。グラフからおよそ 650-700 pg/mL と推定される。これは 10 倍希釈後の濃度なので、元の濃度は約 6500-7000 pg/mL。約 600 pg/mL ではない。誤り。
3. ELISA は抗原抗体反応の特異性を利用する。サイトカイン Y を測定するには、Y に特異的な抗体が必要。X 用の抗体は使えない。誤り。
4. サンドイッチ ELISA では、捕捉抗体と検出抗体の2種類を用いる。これらは抗原分子上の異なるエピトープを認識する必要がある。正しい。
5. 発色が検出限界以下の場合、反応時間を長くすると非特異反応が増加する可能性がある。標準曲線作成時と同じ条件で測定するのが原則。時間を変更する場合は標準曲線も再作成が必要。単純に時間を延長するのは不適切。誤り。"
問119,生物,"[(1, 3), (1, 5), (3, 5)]",○,"[3, 5]","細菌毒素に関する記述の正誤を判断する。
1. リポ多糖(LPS)はグラム陰性菌外膜の成分で、免疫刺激作用を持つのは主に脂質A部分だが、広義には正しい。
2. スーパー抗原はT細胞受容体とMHCクラスII分子に非特異的に結合しT細胞を活性化する。B細胞受容体ではなく、抗体産生抑制もしないため誤り。
3. ストレプトリジンOは化膿レンサ球菌が産生し、細胞膜のコレステロールに結合して孔を形成する溶血毒素であるため正しい。
4. ベロ毒素は腸管出血性大腸菌などが産生する。百日咳菌ではなく、偽膜形成はジフテリア毒素の特徴であるため誤り。
5. 破傷風毒素は運動神経終末から取り込まれ、逆行性軸索輸送により脊髄へ運ばれ、抑制性神経伝達を阻害するため正しい。
したがって、正しい記述は3と5である。"
